,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
0,Dan Ndoye,seriea,0.27,0.09,0.21,0.28,0.23,0.11,5.17,3.10,8.82,2.13,0.58,0.10,0.11,0.10,1.19,0.24,0.15,3.53,0.27,0.58,22.39,4.41
1,Daniel Mosquera,seriea,0.37,0.07,0.37,0.46,0.46,0.10,1.19,1.72,5.37,3.73,0.97,0.10,0.13,0.07,0.89,0.07,0.00,2.98,0.22,0.97,15.29,5.07
2,Daniel Fila,seriea,0.20,0.00,0.20,0.31,0.31,0.06,1.97,1.57,5.90,2.16,0.98,0.09,0.15,0.08,1.18,0.00,0.00,3.14,0.00,0.98,16.70,5.11
3,Alejandro Jimenez,seriea,0.00,0.00,0.00,0.06,0.06,0.10,4.55,3.34,5.94,0.93,0.37,0.00,0.06,0.12,0.93,0.19,0.37,2.79,0.19,0.37,20.06,2.41
4,Charles De Ketelaere,seriea,0.36,0.39,0.33,0.31,0.28,0.36,4.89,5.27,9.53,2.16,1.02,0.15,0.13,0.25,1.98,0.66,0.51,4.08,0.63,1.02,29.31,5.84
5,Santiago Pierotti,seriea,0.20,0.15,0.20,0.14,0.14,0.09,2.10,1.65,4.34,1.65,0.45,0.12,0.09,0.05,1.15,0.10,0.15,2.50,0.10,0.45,13.28,3.94
6,Assane Diao,seriea,0.53,0.18,0.53,0.28,0.28,0.11,3.47,2.18,8.42,2.06,0.82,0.26,0.14,0.06,0.94,0.00,0.06,2.24,0.35,0.82,20.07,4.53
7,Paulo Dybala,seriea,0.33,0.18,0.18,0.39,0.28,0.31,2.64,4.99,7.55,3.07,0.87,0.06,0.09,0.32,2.53,0.29,0.18,5.13,0.51,0.87,27.93,4.55
8,Sebastiano Esposito,seriea,0.36,0.00,0.31,0.25,0.17,0.09,1.34,3.72,3.85,2.38,0.76,0.13,0.07,0.09,1.39,0.27,0.13,3.18,0.22,0.76,18.74,3.90
9,Darko Lazovic,seriea,0.10,0.20,0.00,0.15,0.07,0.27,1.53,2.45,5.92,1.12,0.26,0.00,0.06,0.15,1.22,0.10,0.51,1.73,0.31,0.26,17.60,2.04
10,Federico Dimarco,seriea,0.14,0.28,0.14,0.13,0.13,0.30,1.97,3.38,9.42,2.31,0.79,0.06,0.06,0.26,2.24,0.14,0.73,4.32,0.55,0.79,27.83,3.56
11,Teun Koopmeiners,seriea,0.11,0.14,0.11,0.17,0.17,0.17,1.77,4.07,5.32,1.77,0.42,0.06,0.10,0.17,1.72,0.17,0.28,3.10,0.22,0.42,21.07,2.33
12,Riccardo Orsolini,seriea,0.53,0.13,0.40,0.38,0.28,0.17,2.85,3.78,9.17,3.34,1.16,0.12,0.08,0.15,1.47,0.18,0.53,2.98,0.18,1.16,23.50,4.14
13,Fabio Miretti,seriea,0.15,0.15,0.15,0.18,0.18,0.10,1.77,3.08,5.36,1.42,0.30,0.11,0.12,0.11,1.16,0.25,0.10,2.88,0.30,0.30,17.09,2.98
14,Tommaso Augello,seriea,0.00,0.21,0.00,0.01,0.01,0.16,2.06,4.01,4.19,0.25,0.00,0.00,0.04,0.17,1.35,0.04,1.06,2.45,0.25,0.00,19.33,0.35
15,Christian Gytkjaer,seriea,0.31,0.00,0.16,0.30,0.17,0.03,0.31,0.78,5.79,1.72,0.47,0.09,0.10,0.03,0.78,0.00,0.00,1.57,0.31,0.47,11.58,3.13
16,Eldor Shomurodov,seriea,0.42,0.21,0.42,0.52,0.52,0.10,1.55,1.91,6.07,2.96,1.06,0.14,0.17,0.09,1.20,0.07,0.00,2.33,0.49,1.06,21.39,5.58
17,Iker Bravo,seriea,0.32,0.16,0.32,0.13,0.13,0.06,0.64,2.40,5.12,1.76,0.48,0.18,0.08,0.06,0.96,0.16,0.00,2.08,0.00,0.48,19.22,3.52
18,Milan Djuric,seriea,0.35,0.05,0.35,0.22,0.22,0.06,0.10,1.39,2.43,1.88,0.74,0.18,0.12,0.02,0.35,0.00,0.00,0.74,0.10,0.74,9.31,2.97
19,Samuel Mbangula,seriea,0.39,0.29,0.39,0.13,0.13,0.19,3.19,2.32,6.68,1.16,0.77,0.33,0.11,0.15,1.65,0.00,0.58,2.52,0.48,0.77,21.58,2.90
20,Zito Luvumbo,seriea,0.12,0.06,0.12,0.13,0.13,0.12,3.96,1.56,7.32,1.62,0.36,0.07,0.08,0.07,0.84,0.00,0.30,2.28,0.18,0.36,16.67,4.20
21,Tammy Abraham,seriea,0.32,0.27,0.27,0.51,0.42,0.16,1.08,2.00,5.52,2.06,0.92,0.13,0.20,0.09,1.14,0.32,0.00,2.27,0.65,0.92,12.45,4.87
22,Pedro,seriea,0.49,0.24,0.44,0.32,0.28,0.16,3.52,4.54,6.06,2.15,0.98,0.20,0.13,0.17,1.51,0.59,0.15,3.81,0.39,0.98,22.62,4.25
