,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
0,Juan Cruz,24,4.0,70,68,23
1,Enric Franquesa,28,1.5,21,21,3
2,Munir El Haddadi,29,1.5,19,19,7
3,Dani Raba,29,1.8,55,49,33
4,Adria Altimira,24,1.5,47,44,0
5,Fabio Silva,22,20.0,73,70,38
6,Alberto Moleiro,21,25.0,85,80,18
7,Sandro Ramirez,29,2.5,70,63,29
8,Jaime Mata,36,0.6,9,17,0
9,Moi Gomez,30,3.0,15,25,0
10,Bryan Zaragoza,23,12.0,56,50,15
11,Ante Budimir,33,5.0,85,83,53
12,Ruben Pena,33,1.8,18,22,0
13,Aimar Oroz,23,15.0,88,82,15
14,Ruben Garcia,31,2.0,76,69,20
15,Alex Sola,25,3.0,39,35,3
16,Takefusa Kubo,23,40.0,67,67,16
17,Umar Sadiq,28,5.0,27,30,14
18,Ander Barrenetxea,23,18.0,36,36,13
19,Sheraldo Becker,30,4.0,33,33,9
20,Mikel Oyarzabal,28,30.0,73,65,31
21,Mikel Merino,28,35.0,47,48,14
22,Williot Swedberg,21,5.0,39,38,12
23,Iago Aspas,37,2.5,52,53,24
24,Jorgen Strand Larsen,25,27.0,,,
25,Pablo Duran,23,3.5,39,39,16
26,Borja Iglesias,32,3.0,64,58,24
27,Iker Losada,23,1.8,21,23,2
28,Anastasios Douvikas,25,8.0,30,41,13
29,Anuar,30,0.9,50,48,9
30,Ivan Sanchez,32,0.6,31,40,9
31,Juanmi Latasa,24,2.5,28,33,13
32,Raul Moro,22,5.0,63,64,26
33,Mamadou Sylla,31,1.5,47,49,26
34,Darwin Machis,32,1.0,22,20,4
35,Marcos Andre,28,1.2,44,41,13
36,Enes Unal,27,13.0,6,11,6
37,Carles Alena,27,2.5,39,38,7
38,Ramon Terrats,24,4.0,33,32,7
39,Juan Bernat,32,2.5,27,29,4
40,Alvaro Rodriguez,20,2.5,16,25,7
41,Borja Mayoral,28,9.0,9,25,16
42,Bertug Yildirim,22,2.5,,,
43,Carles Perez,27,2.5,45,47,10
44,Juanmi,31,2.8,30,30,0
45,Brahim Diaz,25,45.0,45,43,9
46,Rodrygo,24,100.0,40,34,11
47,Arda Guler,20,45.0,27,29,9
48,Kylian Mbappe,26,170.0,88,83,38
49,Vinicius Junior,24,200.0,67,69,27
50,Randy Nteka,27,1.5,47,37,9
51,Sergio Camello,24,3.5,44,40,14
52,Alvaro Garcia,32,2.5,72,73,23
53,Pep Chavarria,27,3.5,75,75,3
54,Nico Williams,22,70.0,64,65,20
55,Alex Berenguer,29,12.0,73,67,26
56,Maroan Sannadi,24,5.0,33,44,16
57,Gorka Guruzeta,28,12.0,55,53,16
58,Inaki Williams,30,20.0,85,86,28
59,Asier Villalibre,27,1.8,6,10,6
60,Unai Gomez,21,6.0,33,34,6
61,Sergi Darder,31,4.0,88,78,19
62,Abdon Prats,32,1.5,9,15,6
63,Takuma Asano,30,2.5,36,32,6
64,Dani Rodriguez,36,,70,64,35
65,Vedat Muriqi,31,8.0,61,59,29
66,Cyle Larin,30,3.5,58,53,26
67,Javi Puado,26,8.0,91,86,40
68,Roberto Fernandez,22,4.0,92,86,33
69,Walid Cheddira,27,3.0,17,22,6
70,Alejo Veliz,21,2.8,31,34,3
71,Carlos Martin,23,3.0,50,46,12
72,Stoichkov,31,2.0,62,61,5
73,Toni Martinez,27,2.8,26,32,12
74,Luis Rioja,31,2.0,88,85,22
75,Tomas Conechny,27,2.0,27,27,3
76,Jon Guridi,30,3.0,67,59,11
77,Carlos Vicente,26,8.0,91,89,26
78,Antoine Griezmann,34,22.0,84,79,25
79,Julian Alvarez,25,90.0,78,73,30
80,Alvaro Morata,32,13.0,25,23,9
81,Angel Correa,30,15.0,9,24,8
82,Joao Felix,25,25.0,0,18,14
83,Alexander Sorloth,29,25.0,34,43,26
84,Arnaut Danjuma,28,5.0,55,51,9
85,Artem Dovbyk,27,30.0,73,74,29
86,Cristhian Stuani,38,1.2,3,22,23
87,Yaser Asprilla,21,18.0,38,39,8
88,Bryan Gil,24,15.0,66,60,15
89,Abel Ruiz,25,6.0,48,42,10
90,Bojan Miovski,25,3.0,36,29,10
91,Portu,32,2.5,3,13,3
92,Cedric Bakambu,34,1.8,15,20,8
93,Assane Diao,19,25.0,93,93,39
94,Abde Ezzalzouli,23,12.0,63,59,9
95,Vitor Roque,20,20.0,61,60,19
96,Jesus Rodriguez,19,10.0,61,53,7
97,Pablo Fornals,29,6.0,56,52,2
98,Giovani Lo Celso,29,20.0,40,43,20
99,Aitor Ruibal,29,3.5,30,33,8
100,Antony,25,20.0,92,86,22
101,Dodi Lukebakio,27,25.0,94,91,37
102,Chidera Ejuke,27,6.0,27,32,9
103,Ruben Vargas,26,7.0,60,50,20
104,Lucas Ocampos,30,6.5,35,34,0
105,Suso,31,2.5,0,7,0
106,Isaac Romero,24,10.0,79,70,14
107,Akor Adams,25,7.5,8,12,0
108,Ilias Akhomach,21,15.0,22,20,2
