,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
0,Abdallah Sima,ligue1,0.5,0.11,0.5,0.43,0.43,0.09,2.74,1.57,6.82,2.74,1.06,0.18,0.16,0.08,0.84,0.06,0.11,2.18,0.28,1.06,19.13,4.98,23,10,45,42,17
1,Abde Ezzalzouli,laliga,0.05,0.1,0.05,0.46,0.38,0.09,5.37,3.02,9.54,3.12,1.2,0.02,0.12,0.09,1.25,0.1,0.1,3.07,0.34,1.2,27.14,7.14,23,12,63,59,9
2,Abdon Prats,laliga,0.39,0,0.26,0.33,0.22,0.04,0.26,1.32,2.89,2.37,1.05,0.11,0.09,0.03,0.66,0.13,0,1.18,0.13,1.05,11.45,3.68,32,1.5,9,15,6
3,Abdou Harroui,seriea,0.14,0.42,0.14,0.45,0.45,0.14,5.22,4.66,6.35,3.39,0.99,0.04,0.14,0.17,0.99,0.28,0.28,3.67,0.71,0.99,20.45,3.67,27,2,15,16,10
4,Abdul Fatawu Issahaku,epl,0,0.31,0,0.06,0.06,0.25,6.53,2.64,9.33,2.02,0.78,0,0.03,0.22,0.93,0.31,0.31,2.64,0.47,0.78,24.4,4.04,21,13,18,19,7
5,Abel Ruiz,laliga,0.26,0,0.2,0.3,0.2,0.07,1.44,1.51,5.05,1.38,0.46,0.14,0.14,0.07,0.59,0.07,0.07,0.98,0.07,0.46,11.82,3.94,25,6,48,42,10
6,Adam Armstrong,epl,0.14,0.14,0.14,0.24,0.17,0.09,1.8,1.51,5.7,1.8,0.5,0.08,0.09,0.04,0.65,0,0.14,1.37,0.29,0.5,13.85,3.53,28,14,79,72,23
7,Adam Hlozek,bundesliga,0.36,0.2,0.36,0.32,0.32,0.16,2.36,3.16,4.64,3.24,1,0.11,0.1,0.16,0.96,0.04,0.08,2.6,0.36,1,17.67,5.16,22,18,60,57,21
8,Adama Traore,epl,0.16,0.32,0.16,0.21,0.21,0.23,4.9,3.23,8.39,2.04,0.7,0.08,0.1,0.22,1.88,0.27,0.75,3.71,0.48,0.7,23.13,4.95,29,10,48,51,15
9,Ademola Lookman,seriea,0.76,0.24,0.73,0.52,0.48,0.31,5.92,3.06,12.1,3.64,1.46,0.2,0.13,0.33,2.46,0.18,0.39,5.55,0.76,1.46,32.67,8.16,27,60,76,66,27
10,Ado Onaiwu,ligue1,0.23,0.11,0.23,0.39,0.39,0.1,1.48,3.19,7.63,2.39,1.37,0.1,0.16,0.1,0.91,0.11,0.34,2.96,0.11,1.37,19.25,3.19,29,1.8,23,29,7
11,Adri Embarba,laliga,0.05,0.15,0.05,0.12,0.12,0.18,2.85,2.66,6.14,2.42,0.77,0.02,0.05,0.15,1.55,0.1,0.53,3.14,0.29,0.77,23.78,2.66,32,1.5,45,48,6
12,Adria Altimira,laliga,0,0,0,0.01,0.01,0.01,1.23,2.67,3.54,0.36,0.14,0,0.05,0.04,0.36,0.14,0.07,0.87,0.07,0.14,10.11,0.29,24,1.5,47,44,0
13,Adrian Beck,bundesliga,0.14,0.07,0.14,0.17,0.17,0.07,1.8,4.09,4.79,2.15,0.56,0.06,0.08,0.12,1.11,0,0.28,3.26,0.21,0.56,17.76,2.91,27,2,47,48,9
14,Aimar Oroz,laliga,0.17,0.07,0.17,0.14,0.14,0.07,2.1,4.78,4.13,1.49,0.47,0.11,0.1,0.11,1.12,0.27,0.1,2.61,0.2,0.47,17.93,2.44,23,15,88,82,15
15,Aitor Ruibal,laliga,0.09,0.18,0.09,0.06,0.06,0.13,1.53,3.42,4.32,1.08,0.27,0.08,0.05,0.09,1.44,0,0.45,2.79,0.27,0.27,16.63,2.25,29,3.5,30,33,8
